format,metric,year,number_of_records,value_actual
CD,Units,2016,1,97.577071197
CD,Units,2017,1,87.682499971
CD,Units,2018,1,51.954275644
CD,Units,2019,1,46.506495584
CD Single,Units,1973,1,
CD Single,Units,1974,1,
CD Single,Units,1975,1,
CD Single,Units,1976,1,
CD Single,Units,1977,1,
CD Single,Units,1978,1,
CD Single,Units,1979,1,
CD Single,Units,1980,1,
CD Single,Units,1981,1,
CD Single,Units,1982,1,
CD Single,Units,1983,1,
CD Single,Units,1984,1,
CD Single,Units,1985,1,
CD Single,Units,1986,1,
CD Single,Units,1987,1,
CD Single,Units,1988,1,1.6
CD Single,Units,1989,1,-0.1
CD Single,Units,1990,1,1.1
CD Single,Units,1991,1,5.7
CD Single,Units,1992,1,7.3
CD Single,Units,1993,1,7.8
CD Single,Units,1994,1,9.3
CD Single,Units,1995,1,21.5
CD Single,Units,1996,1,43.2
CD Single,Units,1997,1,66.7
CD Single,Units,1998,1,56
CD Single,Units,1999,1,55.9
CD Single,Units,2000,1,34.2
CD Single,Units,2001,1,17.3
CD Single,Units,2002,1,4.5
CD Single,Units,2003,1,8.3
CD Single,Units,2004,1,3.1
CD Single,Units,2005,1,2.8
CD Single,Units,2006,1,1.7
CD Single,Units,2007,1,2.6
CD Single,Units,2008,1,0.7
CD Single,Units,2009,1,0.9
CD Single,Units,2010,1,1
CD Single,Units,2011,1,1.3
CD Single,Units,2012,1,1.072870407
CD Single,Units,2013,1,0.628895398
CD Single,Units,2014,1,0.928725116
CD Single,Units,2015,1,0.386721563
CD Single,Units,2016,1,0.121745255
CD Single,Units,2017,1,0.13261663
CD Single,Units,2018,1,0.020854078
CD Single,Units,2019,1,0.026257455
Cassette,Units,1973,1,15
Cassette,Units,1974,1,15.3
Cassette,Units,1975,1,16.2
Cassette,Units,1976,1,21.8
Cassette,Units,1977,1,36.9
Cassette,Units,1978,1,61.3
Cassette,Units,1979,1,78.5
Cassette,Units,1980,1,99
Cassette,Units,1981,1,124
Cassette,Units,1982,1,183.2
Cassette,Units,1983,1,236.8
Cassette,Units,1984,1,332
Cassette,Units,1985,1,339.1
Cassette,Units,1986,1,344.5
Cassette,Units,1987,1,410
Cassette,Units,1988,1,450.1
Cassette,Units,1989,1,446.2
Cassette,Units,1990,1,442.2
Cassette,Units,1991,1,360.1
Cassette,Units,1992,1,366.4
Cassette,Units,1993,1,339.5
Cassette,Units,1994,1,345.4
Cassette,Units,1995,1,272.6
Cassette,Units,1996,1,225.3
Cassette,Units,1997,1,172.6
Cassette,Units,1998,1,158.5
Cassette,Units,1999,1,123.6
Cassette,Units,2000,1,76
Cassette,Units,2001,1,45
Cassette,Units,2002,1,31.1
Cassette,Units,2003,1,17.2
Cassette,Units,2004,1,5.2
Cassette,Units,2005,1,2.5
Cassette,Units,2006,1,0.7
Cassette,Units,2007,1,0.4
Cassette,Units,2008,1,0.1
Cassette,Units,2009,1,0
Cassette,Units,2010,1,0
Cassette,Units,2011,1,0
Cassette,Units,2012,1,
Cassette,Units,2013,1,
Cassette,Units,2014,1,
Cassette,Units,2015,1,
Cassette,Units,2016,1,
Cassette,Units,2017,1,
Cassette,Units,2018,1,
Cassette,Units,2019,1,
Cassette Single,Units,1973,1,
Cassette Single,Units,1974,1,
Cassette Single,Units,1975,1,
Cassette Single,Units,1976,1,
Cassette Single,Units,1977,1,
Cassette Single,Units,1978,1,
Cassette Single,Units,1979,1,
